Id,Label,Category,image_url,type,date,location,description
lp_1.jpg,The Fortune Teller,image,https://raw.githubusercontent.com/jimgaconcept/dh-network-images/main/lp_1.jpg,painting,Mid-18th century,Italy,Depicts a Neapolitan femmenella telling a girl her fortune
lp_2.jpg,Le Ore (The Hours),image,https://raw.githubusercontent.com/jimgaconcept/dh-network-images/main/lp_2.jpg,photograph,1975,Italy,"Depicts an androgynous figure holding an owl and a tarot card, draped in fabric"
lp_3.jpg,The Phoenix,image,https://raw.githubusercontent.com/jimgaconcept/dh-network-images/main/lp_3.jpg,sculpture,1980,Italy,Sculpture titled The Phoenix
lp_4.jpg,Contessa (Countess),image,https://raw.githubusercontent.com/jimgaconcept/dh-network-images/main/lp_4.jpg,multimedia painting,1963,Italy,Abstract painting with teeth and splatters evoking blood and bodily violence
lp_5.jpg,Romina Cecconi's Wedding,image,https://raw.githubusercontent.com/jimgaconcept/dh-network-images/main/lp_5.jpg,photograph,1977,Italy,"Photograph documenting the marriage of Romina Cecconi, one of the first Italian trans women to undergo surgery"
gj_1.jpg,Flower Goddess,image,https://raw.githubusercontent.com/jimgaconcept/dh-network-images/main/gj_1.png,digital artwork,2025,South Africa,Stylized portrait of a woman surrounded by flowers and warm tones
gj_2.jpg,The Cyber Eye,image,https://raw.githubusercontent.com/jimgaconcept/dh-network-images/main/gj_2.png,digital artwork,2025,Italy,Digital collage merging a human face with mechanical elements and text
gj_3.jpg,Keep Smiling,image,https://raw.githubusercontent.com/jimgaconcept/dh-network-images/main/gj_3.png,digital artwork,2025,USA,Portrait featuring decorative elements and stylized facial features
gj_4.jpg,Nails of Resistance,image,https://raw.githubusercontent.com/jimgaconcept/dh-network-images/main/gj_4.png,digital artwork,2025,Germany,Street photograph of a man with nail-like elements embedded in his body
gj_5.jpg,Identity,image,https://raw.githubusercontent.com/jimgaconcept/dh-network-images/main/gj_5.png,digital artwork,2026,Nigeria,Surreal portrait of a detached human head placed on a surface
jg_1.jpg,Border Landscape,image,https://raw.githubusercontent.com/jimgaconcept/dh-network-images/main/jg_1.jpg,photograph,,USA,Photograph of the Rio Grande channel with painted political imagery
jg_2.jpg,Nightclub Wall,image,https://raw.githubusercontent.com/jimgaconcept/dh-network-images/main/jg_2.jpg,photograph,,Mexico,Wall mural depicting figures associated with nightlife and performance
